"Camptothecin_1003" "Vinblastine_1004" "Cisplatin_1005" "Cytarabine_1006" "Docetaxel_1007" "Gefitinib_1010" "Navitoclax_1011" "Vorinostat_1012" "Nilotinib_1013" "Olaparib_1017" "Axitinib_1021" "AZD7762_1022" "SB216763_1025" "KU.55933_1030" "Afatinib_1032" "Staurosporine_1034" "PLX.4720_1036" "NU7441_1038" "Doramapimod_1042" "Wee1.Inhibitor_1046" "Nutlin.3a...._1047" "Mirin_1048" "PD173074_1049" "ZM447439_1050" "Alisertib_1051" "RO.3306_1052" "MK.2206_1053" "Palbociclib_1054" "Dactolisib_1057" "Pictilisib_1058" "AZD8055_1059" "PD0325901_1060" "Obatoclax.Mesylate_1068" "X5.Fluorouracil_1073" "Dasatinib_1079" "Paclitaxel_1080" "Crizotinib_1083" "Rapamycin_1084" "Sorafenib_1085" "BI.2536_1086" "Irinotecan_1088" "Oxaliplatin_1089" "BMS.536924_1091" "GSK1904529A_1093" "Tozasertib_1096" "PF.4708671_1129" "PRIMA.1MET_1131" "Erlotinib_1168" "Niraparib_1177" "MK.1775_1179" "Dinaciclib_1180" "Gemcitabine_1190" "Bortezomib_1191" "GSK269962A_1192" "SB505124_1194" "Tamoxifen_1199" "Fulvestrant_1200" "EPZ004777_1237" "YK.4.279_1239" "Daporinad_1248" "BMS.345541_1249" "AZ960_1250" "Talazoparib_1259" "XAV939_1268" "Trametinib_1372" "Dabrafenib_1373" "Temozolomide_1375" "AZD5438_1401" "IAP_5620_1428" "AZD2014_1441" "AZD1208_1449" "AZD1332_1463" "Ruxolitinib_1507" "Linsitinib_1510" "Epirubicin_1511" "Cyclophosphamide_1512" "Pevonedistat_1529" "Sapitinib_1549" "Uprosertib_1553" "LCL161_1557" "Lapatinib_1558" "Luminespib_1559" "Alpelisib_1560" "Taselisib_1561" "EPZ5676_1563" "SCH772984_1564" "IWP.2_1576" "Leflunomide_1578" "Entinostat_1593" "OSI.027_1594" "LGK974_1598" "VE.822_1613" "WZ4003_1614" "CZC24832_1615" "AZD5582_1617" "GSK2606414_1618" "PFI3_1620" "PCI.34051_1621" "Wnt.C59_1622" "I.BET.762_1624" "RVX.208_1625" "OTX015_1626" "GSK343_1627" "ML323_1629" "Entospletinib_1630" "PRT062607_1631" "Ribociclib_1632" "AGI.6780_1634" "Picolinici.acid_1635" "AZD5153_1706" "CDK9_5576_1708" "CDK9_5038_1709" "Eg5_9814_1712" "ERK_2440_1713" "ERK_6604_1714" "IRAK4_4710_1716" "JAK1_8709_1718" "AZD5991_1720" "PAK_5339_1730" "TAF1_5496_1732" "ULK1_4989_1733" "VSP34_8731_1734" "Selumetinib_1736" "IGF1R_3801_1738" "JAK_8517_1739" "AZD4547_1786" "Ibrutinib_1799" "Zoledronate_1802" "Acetalax_1804" "Oxaliplatin_1806" "Carmustine_1807" "Topotecan_1808" "Teniposide_1809" "Mitoxantrone_1810" "Dactinomycin_1811" "Fludarabine_1813" "Nelarabine_1814" "Fulvestrant_1816" "Vincristine_1818" "Docetaxel_1819" "Podophyllotoxin.bromide_1825" "Dihydrorotenone_1827" "Gallibiscoquinazole_1830" "Elephantin_1835" "Sinularin_1838" "Sabutoclax_1849" "LY2109761_1852" "OF.1_1853" "MN.64_1854" "KRAS..G12C..Inhibitor.12_1855" "MG.132_1862" "BDP.00009066_1866" "Buparlisib_1873" "Ulixertinib_1908" "Venetoclax_1909" "ABT737_1910" "Dactinomycin_1911" "Afuresertib_1912" "AGI.5198_1913" "AZD3759_1915" "AZD5363_1916" "AZD6738_1917" "AZD8186_1918" "Osimertinib_1919" "Cediranib_1922" "Ipatasertib_1924" "GDC0810_1925" "GNE.317_1926" "GSK2578215A_1927" "I.BRD9_1928" "Telomerase.Inhibitor.IX_1930" "MIRA.1_1931" "NVP.ADW742_1932" "P22077_1933" "Savolitinib_1936" "UMI.77_1939" "WIKI4_1940" "Sepantronium.bromide_1941" "MIM1_1996" "WEHI.539_1997" "BPD.00008900_1998" "Foretinib_2040" "BIBR.1532_2043" "Pyridostatin_2044" "AMG.319_2045" "MK.8776_2046" "Ulixertinib_2047" "Vinorelbine_2048" "VX.11e_2096" "Uprosertib_2106" "LJI308_2107" "AZ6102_2109" "GSK591_2110" "VE821_2111" "AZD6482_2169" "AT13148_2170" "BMS.754807_2171" "JQ1_2172"
"COSMIC_906826" -1.152528 -1.566172 7.017559 2.91798 -2.938261 5.705252 -0.199978 2.521175 3.358315 7.104088 6.584069 2.254391 7.45798 7.684634 3.956406 -1.812826 6.875262 5.258688 8.540605 2.902785 7.628347 5.907429 5.550343 7.029872 4.343288 3.388095 6.058274 6.263097 -3.026167 1.932982 -1.865977 3.723164 2.103435 7.676629 0.874833 -2.089851 4.580418 -3.134307 3.34388 0.614485 3.767719 5.890994 2.471729 6.532267 3.468017 6.231158 4.415085 4.538684 7.036254 1.535109 -2.022711 1.782823 -5.419831 4.834843 3.3604643397172 6.759307 5.80821 7.485569 4.278042 -1.2858562732507 4.306344 2.818477 4.718552 7.177237 2.006393 6.3011 9.644137 4.184116 7.074778 0.924091 6.098582 3.26748 7.618307 6.648189 -0.575039 7.563767 0.935231 7.096319 6.511333 6.861841 7.052057 -1.981945 6.634235 3.379493 7.734164 6.047488 4.711059 5.721951 4.610282 1.956421 7.210185 6.676582 6.608855 7.524003 5.335711 6.43258 6.540561 7.08377 6.734041 5.072197 7.313432 6.862149 5.134439 5.555849 5.460342 5.294531 6.988548 6.299307 6.858601 3.250978 0.703929 -1.224602 -2.464641 3.092294 5.999817 6.684929 6.35483 7.351064 3.703269 7.03713 3.110984 4.419891 6.594846 1.821549 3.002682 2.604746 7.054848 4.930449 7.958288 7.44229 7.076466 1.243863 1.261469 3.927387 -1.013489 6.581247 8.225955 7.138408 -0.87754 -2.372702 1.737643 3.476568 3.592254 4.599686 5.625147 0.408151 6.918243 6.974723 6.936389 5.372197 -1.809035 2.732071 1.487337 3.284041 4.842327 0.14619 -4.795209 2.758705 6.408478 5.054422 3.430399 3.163007 5.109319 4.726493 2.740501 4.762865 6.43747 -0.465338 7.310751 6.095828 0.44785 7.653152 4.792079 4.283041 2.813051 3.032351 5.164104 -6.863287 5.684914 -0.693299 5.275353 0.835109 5.757015 4.801958 7.513549 5.149232 5.127199 -2.470021 4.525139 4.732755 6.573919 4.21815 6.220616 7.046352 4.991534 5.874982 2.8830241818415 7.372875
"COSMIC_687983" -1.263248 -4.292974 3.286848 2.790819 -4.403053 3.555591 2.619336 1.55493 3.859502 4.128832 1.80897313141052 1.586602 4.88021881744629 4.76928051799397 2.238385 -2.407352 5.368516 3.21081973995494 4.14863883168573 2.891844 4.444381 4.930584 2.827641 2.66874816989602 3.864888 3.21350698834876 3.078903 4.51008 -1.549246 0.800367 -0.145464361136383 2.412758 1.066498 6.881279 3.473985 -2.874266 3.837878 -3.631344 3.088285 2.4771369112032 3.941107 5.065109 1.885186 3.931535 3.49555960295989 4.19703381973574 5.152394 3.180196 4.322222 1.593962 -2.5904 -0.419992 -4.752861 2.98070539837004 2.75861222499412 3.249576 2.73192 5.10622 1.52922 -6.659252 3.265177 1.531211 3.258866 4.733294 2.367383 4.897176 5.313976 3.572706 5.663336 2.497863 5.125747 3.100048 5.483997 3.421701 -0.939816 4.992224 -0.219244 5.403914 4.151032 5.355054 4.344064 -2.154241 4.102754 2.545917 5.738477 5.068639 3.143618 5.00876 4.282122 3.6874257258057 3.444146 4.076064 5.438396 5.547552 2.031874 3.72824 4.841514 4.989 4.640218 4.003067 5.446453 2.361684 2.495656 4.454103 4.862119 4.614364 3.95270018312442 3.491263 5.257294 1.168283 1.270047 -1.675669 -3.544165 3.914854 3.031547 4.400186 4.525182 1.460495 1.843648 3.255003 2.695356 2.929253 6.023467 0.434438 2.041739 1.395375 5.481525 3.803373 6.440017 5.656556 6.004961 1.278835 2.112921 3.22349 -1.449278 5.590114 6.079891 3.975093 -3.094286 -1.356794 -0.94077 -1.2433 2.081074 3.399017 3.635984 -0.780307 5.377795 3.21832 4.456736 4.244313 -1.820442 5.119747 1.196942 3.459054 1.853106 3.078469 -5.245181 2.100109 4.263266 3.017563 2.96394 2.528323 3.961488 1.685482 1.07925 3.316423 3.813422 0.564187 4.180923 3.628316 -0.467538 4.994242 2.017043 5.453372 2.96739 1.25474 3.804103 -5.400933 2.758394 3.181273 5.12825 1.342358 4.470273 2.54966 4.677462 4.087513 -0.31017 -3.438375 3.166693 2.57674 5.537851 1.853308 5.480431 5.359617 3.41527545871467 3.601838 1.30454088356749 2.80337404656149
"COSMIC_910927" -3.521093 -5.008028 2.492692 -1.082517 -4.886498 3.093045 1.398764 1.293609 1.558438 3.422137 2.607028 -0.75351 6.193916 5.191993 2.97682 -3.378749 4.875834 2.944786 6.156248 0.703064 2.678786 4.339516 3.702337 4.04861 2.459154 2.346667 2.926505 3.016134 -3.130794 0.977329 1.861519 0.360008 1.206377 3.439888 1.268904 -1.405412 2.91315 -3.855975 1.175054 -4.120623 1.63544 2.01705 1.29256 4.14133 1.574492 3.349794 3.289281 2.597293 3.047906 0.115544 -3.638279 -3.705927 -5.228678 2.696711 0.236394269720017 3.857208 2.336068 4.170669 1.123569 -4.78836047750464 2.073154 0.320066 -0.245385 3.931823 0.240322 3.836438 6.689467 1.530748 5.560543 1.567764 5.657465 2.733876 4.956096 4.454655 -2.719216 4.884281 -0.701029 3.886035 2.675978 3.790879 2.243937 -4.803482 3.258953 0.72842 5.193543 2.782229 3.292673 4.816843 1.910704 2.174253 3.640072 0.053701 5.385194 5.163375 4.163759 4.231732 5.052096 3.041274 3.841277 5.56391 5.301651 3.740107 3.094767 4.240772 3.945207 3.399465 5.454185 3.636232 5.279961 1.892124 -1.37024 -2.806492 -3.921508 3.454497 3.213874 5.412263 3.668933 4.346573 2.140202 3.569657 2.190435 1.428783 4.027962 0.940725 2.327491 1.405186 5.481008 3.96159 5.607667 4.071382 6.435577 -1.071171 -1.753227 -2.426668 -2.48219 3.192088 5.962296 4.258463 -3.183394 -4.203979 -1.249505 -0.305162 2.348234 3.014788 3.252929 -2.366554 5.457136 3.578766 5.060936 3.222763 -1.580045 1.762289 0.163656 2.272978 2.383061 3.234997 -6.597281 0.558666 4.767701 2.782623 1.432043 0.172217 3.36002 1.674584 1.467573 1.362114 5.193393 -0.928454 4.88511 4.443959 -0.305621 5.643335 3.912415 2.499568 1.857881 1.394479 2.478849 -6.178079 3.291036 3.170138 5.00275 1.186553 4.610818 3.637404 5.510941 2.972624 2.303433 -4.522387 2.496956 1.189962 4.798304 1.91355 3.605307 2.103111 5.497304 2.549963 0.70065787520376 3.70849
"COSMIC_1240138" 1.976381 -2.80525978893936 4.40176834676306 1.7501345429231 -3.99498014300453 4.49994968708793 1.93732721384394 2.5892067669206 3.93932154489896 4.61609005832695 2.83081626835743 0.336231563157146 5.82158461847602 4.45412831015805 4.327257 -3.21020882269388 6.651591 3.29892274143705 4.09612896141295 3.03900235004939 4.73996080207743 6.830256 4.0357536894649 3.46377384350642 4.066224 3.47360395103498 3.68727041157127 4.60097724067526 -1.47461741079866 1.75744743263243 0.162409811251804 2.346213 2.021782 6.563611 -0.451197068631189 -2.22530529258706 3.013178 -2.31154633719582 3.56465397205307 0.951684988562149 4.573863 6.101176 1.18599412143429 6.196028 3.6048130036224 4.51582455930137 5.129635 3.47169406756325 4.683722 1.67277024552751 -2.445742 1.76372933357374 -4.75585583869823 3.21236584002597 1.86314126944074 4.38665831924254 3.59834250487798 4.880389 3.26563311522681 -3.88609430571489 5.373195 1.50424 2.75310805884254 4.051158 0.352304907325635 6.09012821775444 6.73367808086089 3.056914 6.826556 0.995693 5.955338 2.531502 4.98893 4.273704 -0.803925949482579 5.62412039696484 1.56529859913666 4.386039 4.718192 6.334684 3.70742767359166 -2.964252 5.048766 3.407329 6.619285 3.80052 4.487007 5.92994 5.530037 4.97365144178066 6.053832 5.796257 3.982587 5.850265 2.431159 4.862511 6.844833 4.591976 6.380372 4.318395 5.876787 4.231142 3.423922 6.896848 4.294251 3.482419 4.4358646183412 6.022278 6.410838 2.836765 -0.050517 -2.675084 0.342549 4.144862 4.466534 6.605985 4.567516 7.008409 3.198176 6.176487 1.442984 2.260844 5.158916 0.183678 1.329122 3.06202627194495 6.067718 4.928475 6.673262 6.087631 7.284208 1.793317 2.164972 1.746713 -1.537759 5.424841 6.503648 4.439388 0.181951 1.25058 0.125777 2.24 3.174457 3.867327 4.869959 -0.016558 5.54994 5.934164 5.729958 6.193316 -1.40771657756332 2.96282082172629 1.36469544050367 3.2760847159456 2.48619582591451 2.86834295773414 -4.10495837242091 3.29362107423758 4.97903059672108 3.32912733942761 3.30097777908508 2.44098966106259 2.77820807506784 2.74898789674283 1.63958923895463 4.20681481408904 5.40777342427893 0.362109647684746 5.39294669635639 5.40804768429081 1.15277246772296 6.02012582683545 2.93641847954469 5.95927083579367 2.84377284930681 2.74150579737061 3.69063806787754 -5.5360355656495 4.08257767695858 3.26381851301539 5.06646687621713 0.619790828379803 5.59671540514207 4.00528643099009 4.9742220603283 4.02429211956381 2.54997897094592 -1.89246547478625 4.02908037964687 4.26524986909352 5.78890123475223 2.62361745392454 5.2040791608527 4.70157476510815 4.19740192950256 4.53579445047908 1.55874652352193 3.14409347943606
"COSMIC_906792" -3.757428 -5.549113 2.857686 0.168482 -7.00246 3.00898 1.827037 1.241993 3.486873 2.300463 3.4736145724652 -0.334416 4.89201680298067 3.7858164230664 1.834321 -2.755019 3.149031 2.49860834061003 4.58265217851807 1.089994 4.572467 4.179954 3.484013 2.59559161775796 1.210163 2.58380085654914 2.759083 3.805877 -3.318818 1.177197 -0.635800922055786 -1.821956 -0.117839 4.540757 3.080983 -5.628624 2.942708 -2.576992 2.185071 0.473365832979435 0.895518 3.436363 2.3537 4.046327 3.06121159996143 3.31066027224633 3.103618 1.788462 2.701349 0.00781 -2.96255 -1.727177 -5.73058 2.79659384417131 2.45432314350962 1.774784 2.256873 4.381792 0.363947 -4.95700926065068 3.016507 1.660105 1.38686533353326 4.568808 -0.798058 3.993173 5.721405 1.606624 4.304643 0.928172 4.885463 4.416142 4.608617 3.812511 -2.879168 3.953898 -1.10427 3.664443 2.60815 4.529952 2.119688 -4.202117 4.289099 2.109896 4.460236 1.362171 1.89319 5.450959 1.585661 4.545008 4.607817 3.289933 1.884816 3.514687 0.164269 2.741691 3.942492 3.506732 3.490921 2.741766 3.298445 1.326717 2.195215 4.257206 3.233522 2.791717 4.18465822404645 4.033958 4.57558 2.074777 -0.893632 -2.722384 -4.686791 1.06755 2.432325 4.43947 3.572723 2.085112 2.278789 4.980992 1.856514 2.356533 2.515016 2.656462 3.380523 2.806366 4.549698 2.673867 4.367728 5.141331 5.659782 -0.884274 -1.197299 -0.193154 -3.576636 4.438692 5.330246 4.317602 -3.74038 -6.186245 -1.339307 2.312747 2.334741 2.795386 2.48769 -0.639175 4.453401 4.080658 4.564348 4.002662 -1.826801 2.107911 0.48153 1.764589 1.157948 2.76747 -6.375491 1.521153 3.439182 1.773696 1.692763 1.142406 2.698129 1.243679 1.720783 2.466015 4.53624 -0.374122 4.190031 3.570568 -0.338149 4.637326 1.802498 2.094811 1.206413 2.116413 3.457485 -5.385831 3.106962 3.538176 4.440417 0.58914 4.106231 2.073711 3.740116 3.925477 1.315108 -5.398511 2.544676 1.588311 4.514789 1.105506 4.636412 4.293782 3.60371224232226 3.982625 0.596303381555653 2.8660340985867
"COSMIC_910688" -5.125983 -5.970202 0.316507 -2.102468 -6.514316 2.669753 -1.320521 0.277405 1.334536 1.576889 2.50310700294252 -2.086896 4.41427812877959 3.72417262570849 1.198387 -3.714331 2.714699 2.79239746241777 5.253256634467 -0.657126 0.536858 4.193105 2.024637 1.85775634477625 -1.194225 2.31229823403485 1.316163 2.032731 -3.337577 0.231035 -0.565453524103882 -0.963965 -0.126077 2.400252 -0.717113 -5.725145 1.568215 -3.911114 1.416905 0.977513667210569 -0.117609 1.166668 1.329732 2.602915 2.53076756185322 3.62593012366926 3.051528 0.715968 1.669811 -1.224752 -3.925079 -3.6575176120051 -5.359337 2.57789359564714 1.66905556861257 1.997464 2.339227 4.53854 0.078076 -3.30646855843613 1.836831 0.100007 -2.042703 4.239765 1.027224 4.172736 3.383824 0.450252 4.861645 1.937898 4.397221 3.291754 3.318629 3.20069 -4.642182 4.661055 -2.513441 3.088447 0.756597 4.155799 3.01341 -4.117271 2.491046 0.977403 4.072125 2.284926 1.624245 4.057786 0.838794 3.104476 3.915295 1.155211 2.51304 3.872626 1.767369 2.694449 4.164377 2.379486 2.739669 2.652325 4.378151 2.425703 1.8691 4.692662 0.849428 1.070461 3.63802262512459 3.338706 3.852522 1.118183 -2.224386 -4.319933 -3.693489 1.814219 2.58667 4.419749 2.607332 2.861662 0.11386 4.37744 0.618933 1.295051 3.19072 0.615773 1.922067 0.847235 3.900247 3.355773 6.097655 2.397814 6.088864 -1.884966 -3.015929 -3.674315 -4.282166 3.844823 5.693074 4.288833 -3.64732 -5.647875 -2.254562 0.193539 2.404151 2.472003 1.948304 -2.092079 3.977839 4.518049 4.999926 3.780086 -1.989904 0.657365 0.220355 2.004334 -0.406736 0.455857 -7.692749 0.680153 4.284677 2.106538 0.435288 0.525147 0.547733 1.280551 2.092305 0.652317 4.790995 -0.676298 4.61342 3.375499 -0.727352 4.999926 1.029721 3.043849 1.234233 2.493838 3.43156 -5.504918 2.544118 2.5265 2.704426 3.116797 3.19485 4.909304 2.510406 1.783758 3.331219 -4.729299 3.472644 2.005014 3.492298 2.165862 3.936603 2.975474 3.8116070366576 3.555176 1.04565843233548 2.06321621618356
"COSMIC_1240135" -2.648474 -2.96190392176075 3.46567720649008 1.77862538789817 -3.83280085030295 3.69583375213968 1.71334635210187 1.75302462361674 4.24747734570416 4.45043999823508 2.54050785746179 0.464256121348196 5.37744870274434 5.00228453279634 2.798633 -2.9104134033207 5.442153 3.088072142212 4.84988389658158 3.10405943575816 4.91465188138272 6.503206 3.9798829082799 3.1918349865244 2.529427 3.51035051977674 3.61230147627595 3.19788121881379 -1.14050754198707 1.86929798274349 0.312199380156284 -0.093967 2.285487 4.680522 0.914462773359786 -1.65648656693543 4.727823 -2.18859118242386 2.90095853805964 0.992668883999204 4.149561 4.109708 1.57547328297047 5.726074 3.6439469674134 3.91104848430222 6.622446 2.81547143819204 5.840952 1.12555498085976 -2.270056 -1.31646721921995 -4.52350890288688 3.27989213952484 2.46681250954784 3.87846058962532 3.28849732236516 5.747355 2.69695880996927 -4.53190875432595 4.108933 2.183689 3.531082185731 4.359131 -1.27162540832543 5.20907657736653 6.27984295872323 2.910357 5.828037 2.03432 3.623455 3.214091 5.140237 3.593174 -0.834730681576518 5.57062355521751 1.7466747077941 5.514277 5.204339 6.146499 3.49374646028184 -1.878623 5.371866 3.382443 5.770183 2.500362 3.809507 5.848146 2.48142 4.94904663470239 4.97071 4.477726 2.876253 5.639773 5.854876 3.611164 6.015365 4.27991 5.226636 4.300534 5.522052 2.298215 3.759352 4.956347 3.672789 3.133302 3.44047760990592 4.659269 5.927432 2.215966 0.443985 -1.212852 0.041488 2.95108 3.652386 3.79705 2.550185 6.217753 2.981299 4.273453 5.586774 3.837289 3.999155 1.159412 1.968392 2.88904621466769 4.413747 4.374664 3.692662 4.61722 6.514663 1.551726 2.160055 2.158921 -1.456826 6.069644 5.660481 6.080268 1.498031 1.785992 1.388233 1.238965 3.506161 4.537803 3.446376 0.711721 6.068517 4.297404 3.42085 6.003498 -1.5534400244126 2.75652924937272 1.0530853516641 2.2109439355854 2.41823776154747 1.89541417608215 -4.7291019142013 3.08627265949825 5.11231301864528 2.83836652740697 3.55882077131503 2.48527653951334 3.62686422008227 1.66686613214936 1.97825176527257 4.09112355221758 5.39339094314307 0.724307892639555 5.00596130042912 4.95362833190698 0.982445991287694 5.94883552916766 2.64435130330396 5.10565217650986 2.69844883443207 3.3630321090728 3.73878495038826 -2.96753487705379 4.07439352244581 2.12462913470455 4.58797891942051 0.549253064906667 4.79203021405208 4.04879941818765 5.37078372768506 3.49747722459466 1.91371067449499 -2.1776500554174 2.72087867325749 3.55349617848655 5.09510180640476 2.91434479360346 4.8490945787684 4.69890726197851 4.02895557882176 3.5474444768516 1.72631343264296 2.30254735541767
"COSMIC_1290812" -0.087886 0.930273 7.021784 5.626943 -0.752265 5.927088 3.663677 3.396051 6.998523 5.29321 3.69989412384559 2.716391 6.83049738498559 5.61337814919631 4.89588 0.097885 7.104122 3.98177414628223 3.38640160939337 6.918135 3.709128 8.119386 6.003045 4.0419671856233 5.019028 4.41321750458821 6.42062 6.613857 -0.277584 4.04911 1.1802508102982 4.430439 2.954186 7.572734 4.979145 2.053312 5.973902 -0.621684 4.793337 -0.216642391046861 5.099102 6.315063 3.909767 7.034602 4.29243411099411 4.60658821345424 8.536004 3.116979 6.72108 4.498057 1.261578 5.144314 -4.047764 3.62067042233169 2.09642771085183 4.858902 4.935763 7.626182 6.749569 -0.142126513037704 7.752949 2.502519 3.812148 5.634067 2.443416 7.192805 8.081715 6.76027 7.322219 2.983988 7.847297 2.721354 6.143295 5.106887 -1.48529 6.296069 1.634623 6.212939 5.718782 6.884996 6.367802 -0.106214 7.141068 7.296065 7.705932 4.318898 5.463388 7.375013 4.128756 5.60603997703352 6.906077 7.126211 7.201153 7.931266 6.264824 5.89731 8.09472 6.823092 8.004374 4.627216 7.668008 3.766701 5.607043 7.532976 6.153025 6.729733 4.27996100609728 6.721249 7.770028 2.767688 3.839495 2.154001 0.744823 3.707653 2.930232 6.386911 7.110548 7.792014 3.201678 7.592304 2.103395 4.389548 6.85664 1.781965 2.469816 2.340314 7.164725 6.758002 5.746949 8.392661 9.254646 2.476089 3.231165 0.434368 0.720025 4.386598 9.001873 8.018425 2.375347 2.529957 3.34236 4.695904 5.344713 6.443054 6.090242 -0.072846 6.563155 5.62176 6.257792 7.025846 -1.842806 2.898463 2.01875 3.347877 3.04904 2.205029 -4.281532 4.24367 5.19464 5.354759 4.851828 3.93914 5.442565 2.324914 2.04283 5.99001 6.305403 1.142148 6.811064 7.010967 2.646875 7.944045 3.032833 6.554299 1.347983 4.143147 4.232331 -1.780616 4.354149 2.765251 5.438188 3.706067 6.091077 5.487383 7.48055 6.86848 5.254484 2.315945 6.990228 6.746812 7.640015 3.860969 6.312202 7.646498 5.64697063918892 7.327012 0.957324082527257 2.16320428105552
"COSMIC_907045" 0.84632 -0.90417 4.141378 3.522536 -0.984553 2.265505 1.881922 1.748549 1.597495 4.743871 3.221989 4.885804 4.617908 4.093357 1.51015009672027 -0.697815 5.256804 3.110945 2.46807 2.757092 4.669038 5.461932 3.984018 2.857178 4.954338 4.165121 2.493699 4.068734 -0.440842 1.978296 0.230687 1.749912 2.679385 6.399234 3.760052 1.039303 4.868041 -0.912671 1.931062 3.704776 3.915372 4.571456 3.020003 3.427893 5.029532 4.619796 6.400549 2.258538 5.280516 2.801694 0.264815 4.612073 -4.345321 3.07072 3.16875691080894 3.357808 3.039599 5.456366 5.995084 -2.22979095318132 4.915402 5.243485 4.876426 4.946747 2.403008 5.545475 6.851184 2.892538 4.266789 1.987916 3.692571 3.950108 4.489597 3.99037 0.894736 3.456952 2.148059 1.502635 2.103741 5.301937 1.293223 -2.31035 4.033485 3.465068 5.394388 3.04081 2.713372 5.356607 2.621405 2.016589 3.388857 3.468263 4.445474 4.911536 1.328654 3.285572 4.085961 4.764261 3.983435 4.263425 4.730039 4.831555 1.917754 2.951087 4.450472 3.821538 3.469329 2.953214 4.453247 5.302047 3.818756 1.90587 0.579041 5.541658 5.451545 5.372865 4.412574 4.731884 2.339665 3.002702 1.899938 2.38592 4.752547 5.543555 4.083302 0.969277 3.78176368254975 3.024242 -0.169103 5.981833 6.400549 1.617037 4.077248 2.548606 -1.66713 5.954965 5.975731 4.074698 1.460825 3.07455 0.843647 0.177287 1.619729 3.461506 2.455175 -0.604388 4.606409 3.49618 4.28582 4.035696 -0.464779 3.738463 2.123758 2.647283 2.631037 3.26493 0.419922 2.522892 3.31358 2.317937 2.393988 3.59761 3.582858 -0.155366 3.988195 1.599925 3.283201 2.707494 4.899057 4.239246 0.713589 5.301937 3.817674 2.697047 1.993834 3.010627 4.108726 -1.056813 5.294828 4.364074 5.120052 4.316692 3.943039 3.118729 4.984114 2.961976 2.369094 0.694082 4.288294 3.091684 5.280706 3.875902 4.650811 5.224529 4.152172 4.869134 1.4017334835449 4.676725
"COSMIC_906861" -1.191764 -4.347487 3.657736 1.03835 -5.566106 1.335799 2.737521 1.937682 2.627537 4.640833 3.13327695374329 -0.317514 5.57813580249928 5.20839548402154 0.890994 -3.80809 4.378156 2.43417002773128 4.61353640960974 1.980151 5.61835 6.454905 3.898309 2.63156823214494 1.863967 2.96101153538381 1.454285 2.618796 -3.701619 0.415848 0.0774718406324267 1.84603 2.065701 4.376172 -2.224331 -4.743117 4.263124 -3.572955 2.469787 1.59865064017984 3.372493 5.092033 1.482031 4.757784 3.73649482009186 4.02912442915134 6.339465 2.250564 4.58909 0.822643 -2.502292 0.161844 -4.898685 2.38377894901843 1.80326570222599 2.93514 3.101563 5.516382 1.962539 -3.92929487545923 4.552934 3.028718 2.438339 5.440873 1.179532 3.319202 5.985625 2.975026 4.778922 4.343887 5.789302 5.647846 4.760048 3.977449 -0.478142 4.720723 0.631922 3.310047 3.96813 4.517329 1.776105 -0.956555 2.903563 1.419311 5.029864 3.306323 3.750637 6.020722 2.788846 4.915793 5.362071 2.172681 3.459367 4.752509 2.748357 3.863825 4.240923 5.582815 4.536429 4.780972 4.873543 4.656991 2.625986 5.619671 3.219755 3.645731 4.01402157093232 4.431027 5.154247 3.705144 0.85766 -0.710277 -2.535369 4.319385 5.043566 4.805831 4.934242 6.082038 2.240669 5.564423 2.345313 2.371593 6.372109 3.133993 4.682588 3.892103 3.964936 4.234079 6.990448 6.538996 6.951045 1.314565 2.29199 2.345829 -1.07892 6.43278 6.563033 5.89058 -1.320681 -2.966945 -0.324748 3.526295 3.515216 6.084268 3.987387 2.318774 5.322431 5.749705 5.258381 5.980314 -1.553725 1.895569 0.45326 4.490136 3.342726 3.774399 -5.540269 2.948076 4.129852 3.446337 2.823309 0.781119 2.577362 0.354759 1.80836 2.968975 3.572334 -0.452452 5.510702 4.477566 0.871178 5.758388 1.410361 2.848453 2.326068 5.332467 3.439935 -2.900679 4.544998 4.702307 5.574239 1.015027 5.551036 2.720468 5.551706 4.727531 3.384844 -4.246968 3.32765 3.293686 5.831088 2.110273 5.129848 4.196483 3.76689509414852 5.072573 0.446931880600027 2.78280380562317
